Iter Core_Total(Pa) Full_Total(Pa) Core_Static(Pa) Full_Static(Pa)
383 4445.26 6841.07 4454.78 6998.43
384 4441.47 6833.47 4449.55 6991.13
385 4437.67 6825.97 4444.37 6983.92
386 4433.73 6818.45 4439.14 6976.69
387 4429.73 6811.05 4433.97 6969.57
388 4425.64 6803.74 4428.82 6962.55
389 4421.34 6796.42 4423.62 6955.51
390 4416.93 6789.21 4418.47 6948.58
391 4412.36 6782.08 4413.35 6941.74
392 4407.57 6774.95 4408.17 6934.89
393 4402.65 6767.92 4403.05 6928.14
394 4397.58 6760.97 4397.94 6921.47
395 4392.31 6754.01 4392.8 6914.79
396 4386.93 6747.15 4387.71 6908.22
397 4381.44 6740.36 4382.65 6901.71
398 4375.79 6733.56 4377.56 6895.2
399 4370.11 6726.86 4372.53 6888.78
400 4364.37 6720.23 4367.54 6882.43
401 4358.57 6713.59 4362.53 6876.07
402 4352.81 6707.05 4357.59 6869.81
403 4347.1 6700.58 4352.69 6863.62
404 4341.42 6694.1 4347.78 6857.41
405 4335.87 6687.72 4342.95 6851.3
406 4330.46 6681.4 4338.17 6845.25
407 4325.16 6675.07 4333.38 6839.19
408 4320.09 6668.84 4328.69 6833.22
409 4315.22 6662.68 4324.05 6827.32
410 4310.52 6656.5 4319.42 6821.4
411 4306.06 6650.41 4314.88 6815.57
412 4301.83 6644.4 4310.41 6809.81
413 4297.76 6638.38 4305.95 6804.05
414 4293.9 6632.45 4301.58 6798.37
415 4290.21 6626.59 4297.27 6792.76
416 4286.61 6620.73 4292.98 6787.14
417 4283.12 6614.95 4288.75 6781.6
418 4279.71 6609.23 4284.57 6776.13
419 4276.3 6603.52 4280.39 6770.66
420 4272.89 6597.87 4276.25 6765.25
421 4269.48 6592.28 4272.15 6759.9
422 4265.99 6586.71 4268.04 6754.58
423 4262.43 6581.18 4263.93 6749.28
424 4258.81 6575.71 4259.86 6744.05
425 4255.09 6570.28 4255.78 6738.86
426 4251.25 6564.86 4251.69 6733.67
427 4247.34 6559.51 4247.64 6728.56
428 4243.35 6554.2 4243.6 6723.48
429 4239.22 6548.88 4239.53 6718.4
430 4235.06 6543.64 4235.52 6713.39
431 4230.84 6538.46 4231.53 6708.43
432 4226.54 6533.28 4227.53 6703.48
433 4222.22 6528.16 4223.58 6698.59
434 4217.9 6523.1 4219.67 6693.76
435 4213.54 6518.05 4215.76 6688.94
436 4209.18 6513.05 4211.89 6684.16
437 4204.85 6508.1 4208.05 6679.45
438 4200.54 6503.18 4204.24 6674.75
439 4196.23 6498.26 4200.43 6670.06
440 4192 6493.4 4196.67 6665.44
441 4187.81 6488.58 4192.95 6660.86
442 4183.63 6483.75 4189.22 6656.26
443 4179.53 6478.98 4185.54 6651.73
444 4175.5 6474.27 4181.9 6647.25
445 4171.51 6469.56 4178.28 6642.78
446 4167.56 6464.89 4174.68 6638.35
447 4163.68 6460.28 4171.13 6633.97
448 4159.83 6455.69 4167.61 6629.61
449 4155.98 6451.1 4164.09 6625.27
450 4152.19 6446.58 4160.61 6620.98
451 4148.44 6442.1 4157.17 6616.73
452 4144.69 6437.62 4153.74 6612.48
453 4140.99 6433.2 4150.34 6608.29
454 4137.33 6428.83 4146.98 6604.15
455 4133.7 6424.48 4143.65 6600.03
