Iter MassIn(kg/s) MassOut(kg/s) Ratio
719 29.6441 29.6441 1
720 29.6441 29.6441 1
721 29.6441 29.6441 1
722 29.6441 29.6441 1
723 29.6441 29.6441 1
724 29.6441 29.6441 1
725 29.6441 29.6441 1
726 29.6441 29.6441 1
727 29.6441 29.6441 1
728 29.6441 29.6441 1
729 29.6441 29.6441 1
730 29.6441 29.6441 1
731 29.6441 29.6441 1
732 29.6441 29.6441 1
733 29.6441 29.6441 1
734 29.6441 29.6441 1
735 29.6441 29.6441 1
736 29.6441 29.6441 1
737 29.6441 29.6441 1
738 29.6441 29.6441 1
739 29.6441 29.6441 1
740 29.6441 29.6441 1
741 29.6441 29.6441 1
742 29.6441 29.6441 1
743 29.6441 29.6441 1
744 29.6441 29.6441 1
745 29.6441 29.6441 1
746 29.6441 29.6441 1
747 29.6441 29.6441 1
748 29.6441 29.6441 1
749 29.6441 29.6441 1
750 29.6441 29.6441 1
751 29.6441 29.6441 1
752 29.6441 29.6441 1
753 29.6441 29.6441 1
754 29.6441 29.6441 1
755 29.6441 29.6441 1
756 29.6441 29.6441 1
757 29.6441 29.6441 1
758 29.6441 29.6441 1
759 29.6441 29.6441 1
760 29.6441 29.6441 1
761 29.6441 29.6441 1
762 29.6441 29.6441 1
763 29.6441 29.6441 1
764 29.6441 29.6441 1
765 29.6441 29.6441 1
766 29.6441 29.6441 1
767 29.6441 29.6441 1
768 29.6441 29.6441 1
769 29.6441 29.6441 1
770 29.6441 29.6441 1
771 29.6441 29.6441 1
772 29.6441 29.6441 1
773 29.6441 29.6441 1
774 29.6441 29.6441 1
775 29.6441 29.6441 1
776 29.6441 29.6441 1
777 29.6441 29.6441 1
778 29.6441 29.6441 1
779 29.6441 29.6441 1
780 29.6441 29.6441 1
781 29.6441 29.6441 1
782 29.6441 29.6441 1
783 29.6441 29.6441 1
784 29.6441 29.6441 1
785 29.6441 29.6441 1
786 29.6441 29.6441 1
787 29.6441 29.6441 1
788 29.6441 29.6441 1
789 29.6441 29.6441 1
790 29.6441 29.6441 1
791 29.6441 29.6441 1
792 29.6441 29.6441 1
793 29.6441 29.6441 1
794 29.6441 29.6441 1
795 29.6441 29.6441 1
796 29.6441 29.6441 1
797 29.6441 29.6441 1
798 29.6441 29.6441 1
799 29.6441 29.6441 1
800 29.6441 29.6441 1
801 29.6441 29.6441 1
802 29.6441 29.6441 1
803 29.6441 29.6441 1
804 29.6441 29.6441 1
805 29.6441 29.6441 1
806 29.6441 29.6441 1
807 29.6441 29.6441 1
