Iter MassResid UResid VResid Core_dP_AfterInletBuffer(Pa) Full_dP_FullSystem(Pa)
197 0.000116773 0.0178749 0.0135886 7681.26 11530.7
198 0.00011369 0.0179451 0.0134237 7637.03 11466.5
199 0.00011512 0.0177512 0.0134377 7593.01 11402.7
200 0.000104663 0.0174249 0.0130725 7549.44 11339.7
201 0.000114147 0.017499 0.0130937 7505.9 11276.8
202 0.000107612 0.0170698 0.0129529 7463.1 11215
203 0.000103901 0.0170391 0.0126069 7420.75 11153.9
204 0.000100482 0.0168623 0.0127211 7378.76 11093.3
205 9.64566e-05 0.0166052 0.0124792 7337.11 11033.3
206 0.000100231 0.0166349 0.0123722 7295.71 10973.7
207 9.90359e-05 0.0162121 0.0122962 7254.92 10915
208 9.73537e-05 0.016252 0.0120179 7214.74 10857.2
209 9.54821e-05 0.0159756 0.012061 7175.12 10800.3
210 9.18573e-05 0.0158482 0.0119452 7136.04 10744.1
211 8.63306e-05 0.0157288 0.0117663 7097.35 10688.6
212 8.93585e-05 0.0155071 0.0117987 7058.86 10633.4
213 8.59613e-05 0.0154957 0.0114731 7020.91 10579
214 9.08924e-05 0.0151184 0.0116175 6983.36 10525.3
215 8.52874e-05 0.0151764 0.0113458 6946.6 10472.6
216 8.95301e-05 0.0148634 0.0113875 6910.28 10420.7
217 8.4134e-05 0.0148344 0.0112269 6874.75 10369.8
218 8.26824e-05 0.0146008 0.0111256 6839.65 10319.6
219 8.374e-05 0.0145288 0.011063 6805.03 10270.1
220 7.59464e-05 0.0143543 0.0108582 6770.98 10221.3
221 8.3677e-05 0.0142532 0.0108823 6737.11 10172.8
222 7.19748e-05 0.0141232 0.0106009 6704.01 10125.3
223 8.19819e-05 0.0139812 0.0106941 6670.98 10077.8
224 7.28117e-05 0.0139013 0.0103548 6638.8 10031.5
225 8.238e-05 0.0136864 0.010498 6606.9 9985.57
226 7.22956e-05 0.0136358 0.0102057 6575.92 9940.84
227 8.11961e-05 0.0133855 0.0102852 6545.24 9896.45
228 7.1533e-05 0.0133699 0.0100335 6515.42 9853.22
229 7.7661e-05 0.013094 0.0100636 6485.87 9810.3
230 7.09083e-05 0.0131239 0.00984681 6457.01 9768.32
231 7.40412e-05 0.0128262 0.00984517 6428.45 9726.68
232 7.0261e-05 0.0128952 0.00965634 6400.42 9685.77
233 7.09363e-05 0.0125929 0.00963569 6372.71 9645.29
234 6.94656e-05 0.012679 0.00946621 6345.42 9605.38
235 6.83863e-05 0.0123858 0.00943632 6318.48 9565.98
236 6.84965e-05 0.0124722 0.0092772 6291.87 9527.05
237 6.63208e-05 0.0121837 0.00924568 6265.64 9488.67
238 6.82692e-05 0.0122727 0.00908926 6239.7 9450.71
239 6.4522e-05 0.0119777 0.00906183 6214.19 9413.4
240 6.78985e-05 0.0120745 0.008895 6188.92 9376.44
241 6.30422e-05 0.0117699 0.00888075 6164.13 9340.19
242 6.72736e-05 0.0118775 0.00869588 6139.52 9304.23
243 6.19028e-05 0.0115876 0.00870161 6115.43 9269.02
244 6.64181e-05 0.0116818 0.00849402 6091.51 9234.05
245 6.23166e-05 0.0114161 0.00852432 6068.11 9199.82
246 6.51903e-05 0.0114769 0.00828882 6044.97 9165.95
247 6.28816e-05 0.0112434 0.00834207 6022.3 9132.73
248 6.37339e-05 0.0112677 0.00807742 5999.98 9099.94
249 6.3034e-05 0.011071 0.00815396 5978.07 9067.7
250 6.21598e-05 0.0110601 0.00793121 5956.55 9035.93
251 6.22417e-05 0.0109025 0.00796333 5935.39 9004.59
252 6.0554e-05 0.0108609 0.00778555 5914.62 8973.69
253 6.11905e-05 0.010743 0.00777456 5894.18 8943.14
254 5.88596e-05 0.0106698 0.00764243 5874.12 8913.02
255 6.00895e-05 0.0105923 0.00758059 5854.36 8883.17
256 5.70213e-05 0.0104849 0.00750139 5835 8853.75
257 5.98281e-05 0.0104488 0.0073901 5815.89 8824.54
258 5.48722e-05 0.010303 0.00735826 5797.23 8795.83
259 6.04038e-05 0.010323 0.00719958 5778.74 8767.22
260 5.25498e-05 0.0101562 0.00721066 5760.78 8739.25
261 6.07683e-05 0.0102282 0.00700617 5742.88 8711.23
262 5.47477e-05 0.0100028 0.00705782 5725.56 8683.98
263 5.9481e-05 0.0100892 0.00689785 5708.45 8656.92
264 5.47757e-05 0.00989738 0.00688541 5691.81 8630.48
265 5.78975e-05 0.00994339 0.00678295 5675.36 8604.24
266 5.38113e-05 0.00981577 0.0067051 5659.27 8578.49
267 5.63251e-05 0.00980209 0.00665328 5643.32 8552.89
268 5.25919e-05 0.0097331 0.00652097 5627.68 8527.71
269 5.4693e-05 0.00966106 0.00651758 5612.13 8502.64
270 5.06411e-05 0.00964694 0.00634269 5596.86 8477.95
271 5.2972e-05 0.00952174 0.00636989 5581.63 8453.3
272 5.19194e-05 0.00956021 0.00625996 5566.65 8429
273 5.05247e-05 0.00939975 0.00621894 5551.86 8404.97
274 5.34431e-05 0.00945301 0.00616076 5537.21 8381.13
275 4.96502e-05 0.00933845 0.00605811 5522.88 8357.76
276 5.31406e-05 0.00931772 0.00604226 5508.65 8334.54
277 4.81458e-05 0.00926035 0.00589275 5494.72 8311.78
278 5.17512e-05 0.00917205 0.0059059 5480.79 8289.07
279 4.53881e-05 0.00917379 0.00581397 5467.09 8266.77
280 5.01316e-05 0.00904288 0.00575881 5453.24 8244.35
281 4.69439e-05 0.00908528 0.00571949 5439.59 8222.35
282 4.77184e-05 0.00899951 0.005611 5425.92 8200.5
283 4.89547e-05 0.00896828 0.00560385 5412.29 8178.92
284 4.52806e-05 0.00892542 0.00549996 5398.74 8157.71
285 4.93673e-05 0.00882451 0.00547424 5385.02 8136.57
286 4.19803e-05 0.00883124 0.00542276 5371.39 8115.88
287 4.81529e-05 0.0087391 0.00540676 5357.33 8095.01
288 4.29493e-05 0.00873309 0.00538783 5343.34 8074.61
289 4.57515e-05 0.0086949 0.00533256 5329.02 8054.23
290 4.53197e-05 0.00860703 0.00534118 5314.62 8034.19
291 4.24498e-05 0.0086073 0.00526889 5300.08 8014.44
292 4.65386e-05 0.00848634 0.00527835 5285.24 7994.73
293 3.90636e-05 0.00849392 0.00523917 5270.39 7975.48
294 4.54134e-05 0.00846622 0.00520278 5255.03 7956
295 4.10154e-05 0.00837506 0.00519685 5239.74 7937
296 4.26508e-05 0.00838963 0.00511544 5224.22 7918.06
297 4.35195e-05 0.00826071 0.00513799 5208.67 7899.39
298 3.88035e-05 0.00826613 0.00508917 5193.19 7881.05
299 4.37881e-05 0.00823412 0.0050617 5177.51 7862.64
300 3.82242e-05 0.00812807 0.00504634 5162.09 7844.66
301 4.16779e-05 0.00816104 0.00497091 5146.6 7826.61
302 4.05207e-05 0.00804813 0.00498666 5131.4 7808.9
303 3.83161e-05 0.00803161 0.00493694 5116.45 7791.39
304 4.17454e-05 0.00801124 0.00490817 5101.69 7773.93
305 3.80334e-05 0.00787427 0.00489198 5087.4 7756.85
306 3.98997e-05 0.00791335 0.00481558 5073.39 7739.81
307 3.8287e-05 0.00783449 0.00482669 5059.83 7723.03
308 3.66573e-05 0.00777512 0.00478206 5046.66 7706.37
309 3.97169e-05 0.00778527 0.00474242 5033.84 7689.74
310 3.70147e-05 0.00767305 0.00473202 5021.58 7673.44
311 3.77719e-05 0.00766338 0.0046671 5009.71 7657.24
312 3.68438e-05 0.00762944 0.00466076 4998.3 7641.23
313 3.57729e-05 0.00751114 0.00462777 4987.28 7625.34
314 3.75604e-05 0.00754298 0.00457384 4976.61 7609.54
315 3.55265e-05 0.00747991 0.00456887 4966.36 7593.99
316 3.52328e-05 0.00739652 0.00451972 4956.4 7578.53
317 3.59511e-05 0.00741067 0.00448968 4946.71 7563.18
